uniprot_id,logFC,CI.L,CI.R,average_intensity,t,B,P.Value,adj.P.Val,sig.PVal,sig.FDR,pi_score,sig_pi,contrast,gene,protein,description
P0C1S9,-0.1094001113623797,-0.8907614258321465,0.671961203107387,17.102927482046073,-0.2902789134872132,-6.133210253234348,0.7743072206910213,0.8837142015295769,-0,-0,0.9724048217441519,0,PHEvPHE_MITO,Daglb,DGLB_RAT,Diacylglycerol lipase-beta
P0C1X8,-0.07515806787245438,-0.19973984086718516,0.049423705122276396,21.078396938333523,-1.2507506283821124,-5.419980284510223,0.2240963083731513,0.46407680703792614,-0,-0,0.8936756549436643,0,PHEvPHE_MITO,Aak1,AAK1_RAT,AP2-associated protein kinase 1
P0C219,-0.1524497640748308,-0.2851492398484476,-0.019750288301214003,25.294221187341535,-2.3818103574988223,-3.661201101486962,0.026252823843743743,0.17260064486050947,-1,-0,0.5741214299721636,0,PHEvPHE_MITO,Slmap,SLMAP_RAT,Sarcolemmal membrane-associated protein
P0C2B9,0.3612875619819711,0.005218987745015058,0.7173561362189271,19.20641633389549,2.1036282525173227,-4.164795723836363,0.04700583664958669,0.21794560903777246,1,0,0.3313332011763816,0,PHEvPHE_MITO,Mrpl42,RM42_RAT,Large ribosomal subunit protein mL42
P0C2C0,0.36407959672333234,-0.0036587231134088127,0.7318179165600736,17.134772477425408,2.0526130421155027,-4.252839834328725,0.052128645587456335,0.22754792978502736,1,0,0.34112512520491417,0,PHEvPHE_MITO,Mrpl22,RM22_RAT,Large ribosomal subunit protein uL22m
P0C2C1,0.29406747655645304,-0.1243600381911496,0.7124949913040557,17.838204288055717,1.4570564910410566,-5.16282345907803,0.15915352660018098,0.38689521944383903,0,0,0.5824788003953344,0,PHEvPHE_MITO,Mrpl30,RM30_RAT,Large ribosomal subunit protein uL30m
P0C2C4,0.18073606676447085,-0.0020810210552239805,0.3635531545841657,20.446408653502484,2.049640388365488,-4.257926141757531,0.052442000059201174,0.22829370677945732,1,0,0.5869483185855954,0,PHEvPHE_MITO,Mrpl10,RM10_RAT,Large ribosomal subunit protein uL10m
P0C2X9,0.07385169309771555,-0.12120248413186269,0.2689058703272938,21.309383953402467,0.7849732022052088,-5.871326573029696,0.44079741334370115,0.6725309106443897,0,0,0.9412965145351728,0,PHEvPHE_MITO,Aldh4a1,AL4A1_RAT,"Delta-1-pyrroline-5-carboxylate dehydrogenase, mitochondrial"
P0C5E3,-0.02450620621813826,-0.09297212032123765,0.04395970788496113,25.53885521380808,-0.7420809841925944,-5.903226844103432,0.46584684447472924,0.6895227687401635,-0,-0,0.9814538848692194,0,PHEvPHE_MITO,Palld,PALLD_RAT,Palladin (Fragment)
P0C5H9,-0.08443182779889824,-0.21573529704386793,0.04687164144607145,26.12996108006023,-1.3331518515316472,-5.321227579497897,0.19605263342429957,0.4340068891004992,-0,-0,0.8714725899619074,0,PHEvPHE_MITO,Manf,MANF_RAT,Mesencephalic astrocyte-derived neurotrophic factor
P0C5W1,-0.19043256571250566,-0.3387960115913091,-0.04206911983370218,21.382948019264997,-2.6611168025248273,-3.120572227155369,0.014229932784426167,0.13596233988459674,-1,-0,0.4449484314576444,0,PHEvPHE_MITO,Map1s,MAP1S_RAT,Microtubule-associated protein 1S
P0C5Y8,0.07320742302294647,-0.40327877749111773,0.5496936235370107,15.905276844512583,0.3185329927574798,-6.124639435994288,0.7530692571473044,0.8712688613023459,0,0,0.9794525511853974,0,PHEvPHE_MITO,Als2,ALS2_RAT,Alsin
P0C606,-1.8960157854855275,-3.5290109046292253,-0.26302066634182975,20.850983499747255,-2.410051976533505,-3.6117277908272643,0.024899180360080125,0.16878442038044936,-1,-0,9.102098685395264e-4,-1,PHEvPHE_MITO,Sgf29,SGF29_RAT,SAGA-associated factor 29
