uniprot_id,gene,PC1_loading,PC2_loading,compartment
A0A8I5ZLL3,Arhgef18,-1.8e-4,0.00307,Other
A0A8I5ZLL4,Stxbp6,-0.02102,0.00215,Other
A0A8I5ZLL5,Nmt2,-0.00494,0.02191,Other
A0A8I5ZLP4,Inpp5f,-0.00164,0.01414,Other
A0A8I5ZLQ1,Nub1,0.00268,0.01954,Nucleus
A0A8I5ZLV1,Mtx2,0.0039,0.00731,Mitochondrion
A0A8I5ZM29,Tmem131,-0.00834,0.00751,Other
A0A8I5ZM56,Map7d1,-0.02203,-0.02042,Cytoskeleton
A0A8I5ZMG6,Ppp2r5e,-0.00303,-0.02848,Other
A0A8I5ZMH4,Armcx4,-0.01514,-0.00553,Other
A0A8I5ZMJ8,Aspscr1,-0.0027,0.00411,Nucleus
A0A8I5ZMM2,Cad,0.02379,0.0131,Nucleus
A0A8I5ZMN0,Mfap1al1,-0.01157,0.00529,Other
A0A8I5ZMN6,Smc4,-0.0061,-0.02644,Nucleus
A0A8I5ZMP3,ENSRNOG00000069209,0.0129,-0.00192,Other
A0A8I5ZMR4,Lsm7,-0.02249,0.01377,Nucleus
A0A8I5ZMR7,Vps13c,0.01053,0.0074,Mitochondrion
A0A8I5ZN71,Ptpn12,-0.00762,-0.00206,Cytoskeleton
A0A8I5ZN89,Gcdh,0.00665,0.02343,Mitochondrion
A0A8I5ZND3,Tcirg1,0.01644,0.01251,Other
A0A8I5ZNK2,Oxsr1,0.01645,-0.01598,Other
A0A8I5ZP70,Tom1l2,-0.02424,0.005,Other
A0A8I5ZP83,Chmp4b,-0.02795,5.1e-4,Other
A0A8I5ZPL5,Zbtb21,-0.01692,-0.01575,Other
A0A8I5ZPV1,Tbc1d22a,-0.00602,2.4e-4,Other
A0A8I5ZQ14,Afg3l1,0.01644,0.0019,Other
A0A8I5ZQC5,Hddc3,0.00524,-0.00483,Other
A0A8I5ZQD4,Dst,-0.01013,-0.0275,Cytoskeleton
A0A8I5ZQF6,Rpl10-ps14,-0.00251,-0.02692,Other
A0A8I5ZQG0,Sec14l1,0.01195,0.0091,Other
A0A8I5ZQH9,Dcaf6,-0.01516,0.01341,Other
A0A8I5ZQL5,Acad8,0.00209,-0.0189,Mitochondrion
A0A8I5ZQM5,Rsu1,0.02121,-0.01443,Other
A0A8I5ZQQ2,Smarcd3,0.00752,0.00734,Nucleus
A0A8I5ZQQ5,Smarca5,0.00443,-0.00957,Nucleus
A0A8I5ZQU7,Casp7,0.00154,-0.0122,Other
A0A8I5ZR43,Irf2bp2,-0.01956,0.00226,Other
A0A8I5ZR45,Pbx1,0.014880000000000001,0.00935,Nucleus
A0A8I5ZR84,Supt5h,-0.01515,0.01593,Nucleus
