contrast,database,pathway,label,NES,pval,padj,size,dedup_kept,leadingEdge
PC1,KEGG,KEGG_ARRHYTHMOGENIC_RIGHT_VENTRICULAR_CARDIOMYOPATHY_ARVC,ARVC,1.265,0.141,0.414,22,TRUE,Actb;Atp2a2;Actn1;Ctnnb1;Itga4;Itga7;Actn4;Sgcb
PC1,KEGG,KEGG_AXON_GUIDANCE,Axon Guidance,0.734,0.862,0.937,31,TRUE,Rasa1;Gnai2;Gnai3;Rac1;Nck2;Dpysl2;Nck1;Ephb3;Cxcl12;Epha2;Ephb4;Rhod
PC1,KEGG,KEGG_BETA_ALANINE_METABOLISM,Beta Alanine Metabolism,2.212,9.62e-6,3.21e-4,10,FALSE,Aldh7a1;Aldh9a1;Aldh2;Acadm;Sms;Echs1;Hibch;Aldh3a2
PC1,KEGG,KEGG_BUTANOATE_METABOLISM,Butanoate Metabolism,1.776,0.00703,0.0541,14,TRUE,Acat2;Aldh7a1;Aldh9a1;Aldh2;Echs1;Pdhb;Aldh3a2
PC1,KEGG,KEGG_B_CELL_RECEPTOR_SIGNALING_PATHWAY,B Cell Receptor Signaling,-0.979,0.486,0.716,18,TRUE,Ppp3r1;Cd81;Ikbkg;Gsk3b;Hras;Raf1;Rela
PC1,KEGG,KEGG_CALCIUM_SIGNALING_PATHWAY,Calcium Signaling,1.101,0.299,0.566,24,TRUE,Atp2a2;Vdac2;Vdac3;Vdac1;Gnas;Slc25a4;Slc25a5;F2r;Pdgfrb;P2rx4;Plcg1
PC1,KEGG,KEGG_CARDIAC_MUSCLE_CONTRACTION,Cardiac Muscle Contraction,1.053,0.368,0.623,28,TRUE,Uqcr10;Atp1b3;Atp2a2;Uqcrc2;Myh7;Uqcrq;Uqcrc1;Cyc1
PC1,KEGG,KEGG_CELL_ADHESION_MOLECULES_CAMS,Cell Adhesion Molecules Cams,-1.811,0.00842,0.0601,18,TRUE,Cdh15;Sdc1;Icam1;Nectin2;Itgav;Sdc2;Ncam1;Pvr;Alcam;Cd276;Nectin3;Vcan;Itga6;Itgb1
PC1,KEGG,KEGG_CELL_CYCLE,Cell Cycle,1.438,0.0571,0.228,41,FALSE,Cdk4;Rbx1;Ccnd1;Ywhah;Cdk2;Ywhae;Ywhab;Bub3;Cdk6;Ccnd3;Mcm7;Ywhag;Cdk1;Cul1;Mcm6;Mcm2;Mad2l1
PC1,KEGG,KEGG_CHEMOKINE_SIGNALING_PATHWAY,Chemokine Signaling,-0.983,0.49,0.716,37,FALSE,Rhoa;Grk2;Ikbkg;Stat1;Gsk3b;Wasl;Pxn;Rock1;Csk
PC1,KEGG,KEGG_CITRATE_CYCLE_TCA_CYCLE,Citrate Cycle TCA Cycle,1.974,8.77e-4,0.00974,22,FALSE,Idh3g;Dlst;Mdh2;Cs;Suclg2;Fh;Idh2;Pdhb;Idh3a;Sucla2;Sdha;Ogdh;Mdh1
PC1,KEGG,KEGG_DILATED_CARDIOMYOPATHY,Dilated Cardiomyopathy,-0.823,0.757,0.885,27,FALSE,Tgfb2;Itga5;Tpm4;Tpm1;Itgav;Tpm3;Tnnc1;Tpm2;Dmd
PC1,KEGG,KEGG_DNA_REPLICATION,DNA Replication,1.11,0.281,0.561,20,FALSE,Mcm7;Rfc5;Rfc3;Rpa1;Mcm6;Rfc4;Mcm2
PC1,KEGG,KEGG_ECM_RECEPTOR_INTERACTION,Ecm Receptor Interaction,-1.939,0.001,0.01,27,FALSE,Col3a1;Col1a1;Col1a2;Col5a2;Col5a1;Itga5;Sdc1;Itgav;Sdc2;Cd47;Cd44
PC1,KEGG,KEGG_ENDOCYTOSIS,Endocytosis,-1.124,0.253,0.529,43,TRUE,Cltb;Arfgap1;Arfgap3;Stam;Grk2;Stam2;Ldlr;Nedd4;Clta;Hspa8;Vps4b
PC1,KEGG,KEGG_ERBB_SIGNALING_PATHWAY,Erbb Signaling,-1.083,0.323,0.591,27,TRUE,Eif4ebp1;Pak4;Cdkn1b;Gsk3b;Abl1;Ptk2;Cbl;Pak3;Hras;Raf1;Araf
PC1,KEGG,KEGG_FATTY_ACID_METABOLISM,FA Metabolism,1.822,0.00287,0.0239,28,FALSE,Acat2;Aldh7a1;Aldh9a1;Eci2;Aldh2;Acsl5;Acsl1;Acadm;Acsl3;Echs1;Acaa2;Aldh3a2;Cpt2;Cpt1a;Acads;Hadhb
PC1,KEGG,KEGG_FC_EPSILON_RI_SIGNALING_PATHWAY,Fc Epsilon Ri Signaling,-0.543,0.983,0.983,17,FALSE,Gab2;Prkce;Hras;Raf1;Prkcd
PC1,KEGG,KEGG_FC_GAMMA_R_MEDIATED_PHAGOCYTOSIS,Fc Gamma R Mediated Phagocytosis,0.783,0.802,0.901,27,TRUE,Arf6;Plpp1;Rac1;Dnm1l;Arpc2
PC1,KEGG,KEGG_FOCAL_ADHESION,Focal Adhesion,-1.471,0.0303,0.144,73,FALSE,Flna;Col3a1;Col1a1;Flnc;Mylk;Rhoa;Col1a2;Col5a2;Col5a1;Itga5;Zyx;Pak4;Ccnd2;Flnb;Itgav;Gsk3b;Vasp;Cav2;Pxn;Rock1
PC1,KEGG,KEGG_FRUCTOSE_AND_MANNOSE_METABOLISM,Fructose & Mannose Metabolism,1.065,0.367,0.623,13,TRUE,Aldoa;Gfus;Mpi;Hk2;Pmm1;Tpi1;Gmppa
PC1,KEGG,KEGG_GALACTOSE_METABOLISM,Galactose Metabolism,1.111,0.3,0.566,13,TRUE,Gale;Ugp2;Hk2;Pgm1
PC1,KEGG,KEGG_GAP_JUNCTION,Gap Junction,1.49,0.0703,0.243,21,FALSE,Tuba4a;Src;Gnas;Gnai2;Gnai3;Tuba3a;Cdk1;Tubb5
PC1,KEGG,KEGG_GLUTATHIONE_METABOLISM,Glutathione Metabolism,1.26,0.169,0.417,18,TRUE,Lap3;Gstm5;Sms;Gpx4;Idh2;Gsto1
PC1,KEGG,KEGG_GLYCEROLIPID_METABOLISM,Glycerolipid Metabolism,1.732,0.00905,0.0603,14,TRUE,Aldh7a1;Akr1a1;Aldh9a1;Aldh2;Plpp1;Aldh3a2
PC1,KEGG,KEGG_GLYCEROPHOSPHOLIPID_METABOLISM,Glycerophospholipid Metabolism,1.305,0.17,0.417,12,FALSE,Plpp1;Gpd1l;Lpcat3;Dgka;Lclat1;Gpd2;Agpat3;Agpat4;Pla2g4a
PC1,KEGG,KEGG_GLYCOLYSIS_GLUCONEOGENESIS,Glycolysis Gluconeogenesis,2.188,3.99e-5,7.98e-4,32,TRUE,Ldhb;Eno1;Aldh7a1;Aldoa;Akr1a1;Aldh9a1;Aldh2;Ldha;Gpi;Pgk1;Pdhb;Gapdh;Aldh3a2;Hk2;Eno3;Pgm1;Aldh3a1;Pgam1
PC1,KEGG,KEGG_GNRH_SIGNALING_PATHWAY,Gnrh Signaling,1.164,0.245,0.529,17,TRUE,Src;Gnas;Mapk14;Mmp14
PC1,KEGG,KEGG_INSULIN_SIGNALING_PATHWAY,Insulin Signaling,1.035,0.413,0.666,36,TRUE,Ppp1ca;Fasn;Pygb;Acaca;Hk2;Ikbkb;Cblb;Pygm
PC1,KEGG,KEGG_JAK_STAT_SIGNALING_PATHWAY,JAK Stat Signaling,-0.836,0.718,0.866,20,TRUE,Stam;Stam2;Stat1;Ccnd2;Spry4;Ctf1
PC1,KEGG,KEGG_LEUKOCYTE_TRANSENDOTHELIAL_MIGRATION,Leukocyte Transendothelial Migration,0.816,0.765,0.885,34,TRUE,Actb;Actn1;Ctnnb1;Gnai2;Gnai3;Rac1;Mapk14;Itga4;Thy1;Cxcl12;Actn4
PC1,KEGG,KEGG_LONG_TERM_DEPRESSION,Long Term Depression,1.508,0.0647,0.235,13,TRUE,Ppp2cb;Gnas;Gnai2;Gnai3
PC1,KEGG,KEGG_LONG_TERM_POTENTIATION,Long Term Potentiation,-0.929,0.542,0.726,10,FALSE,Ppp3r1;Hras;Raf1;Araf
PC1,KEGG,KEGG_LYSINE_DEGRADATION,Lysine Degradation,1.904,0.00204,0.0185,15,TRUE,Acat2;Aldh7a1;Aldh9a1;Dlst;Aldh2;Echs1;Plod3;Aldh3a2
PC1,KEGG,KEGG_LYSOSOME,Lysosome,-0.985,0.463,0.716,30,TRUE,Cltb;Lgmn;Gm2a;Ap3s1;Clta;Ctsl;M6pr;Gaa
PC1,KEGG,KEGG_MAPK_SIGNALING_PATHWAY,MAPK Signaling,-0.991,0.466,0.716,49,FALSE,Flna;Flnc;Tgfb2;Ppp3r1;Ikbkg;Stmn1;Hspa8;Flnb;Ppm1b;Hspa1l;Hspb1
PC1,KEGG,KEGG_MELANOGENESIS,Melanogenesis,1.247,0.184,0.437,16,TRUE,Ctnnb1;Gnas;Gnai2;Gnai3
PC1,KEGG,KEGG_MISMATCH_REPAIR,Mismatch Repair,0.967,0.494,0.716,12,FALSE,Rfc5;Rfc3;Rpa1;Rfc4;Rfc1;Rpa2
PC1,KEGG,KEGG_MTOR_SIGNALING_PATHWAY,mTOR Signaling,0.629,0.916,0.963,11,FALSE,Cab39
PC1,KEGG,KEGG_NATURAL_KILLER_CELL_MEDIATED_CYTOTOXICITY,Natural Killer Cell Mediated Cytotoxicity,-0.763,0.795,0.901,19,TRUE,Ppp3r1;Icam1;Bid;Hras;Raf1;Araf;Ptpn11;Shc1
PC1,KEGG,KEGG_NEUROTROPHIN_SIGNALING_PATHWAY,Neurotrophin Signaling,0.991,0.476,0.716,38,FALSE,Ywhah;Ywhae;Ywhab;Nfkb1;Rac1;Ywhag;Mapk14;Ikbkb
PC1,KEGG,KEGG_NOD_LIKE_RECEPTOR_SIGNALING_PATHWAY,Nod Like Receptor Signaling,0.93,0.544,0.726,14,FALSE,Nfkb1;Mapk14;Ikbkb;Hsp90ab1;Hsp90b1
PC1,KEGG,KEGG_NOTCH_SIGNALING_PATHWAY,Notch Signaling,0.586,0.951,0.963,12,FALSE,Ctbp1;Adam17;Hdac1;Hdac2;Ncstn;Numb;Psen1;Rbpj;Dvl2;Jag1;Notch2;Ncor2
PC1,KEGG,KEGG_NUCLEOTIDE_EXCISION_REPAIR,Nucleotide Excision Repair,1.528,0.0594,0.228,17,FALSE,Rbx1;Ddb1;Cul4a;Rfc5;Rfc3;Rpa1;Rfc4
PC1,KEGG,KEGG_OOCYTE_MEIOSIS,Oocyte Meiosis,1.584,0.0275,0.138,23,TRUE,Ppp1ca;Rbx1;Ppp2cb;Ywhah;Cdk2;Ywhae;Ywhab;Ywhag;Cdk1;Cul1
PC1,KEGG,KEGG_OXIDATIVE_PHOSPHORYLATION,OXPHOS,1.373,0.0561,0.228,69,FALSE,Uqcr10;Ndufa6;Atp5mg;Uqcrc2;Atp5pb;Ppa1;Ndufs2;Atp5po;Atp6v1c1;Ndufb5;Ndufs3;Uqcrq;Atp5mf;Uqcrc1;Atp5f1e;Atp5me;Atp6v0c;Atp5f1b;Cyc1;Ndufv3;Tcirg1;Atp5f1c;Ndufa5;Ndufs1;Sdha;Ndufa9;Uqcr11;Ndufa8;Cox7b
PC1,KEGG,KEGG_P53_SIGNALING_PATHWAY,p53 Signaling,1.085,0.338,0.594,23,TRUE,Cdk4;Ccnd1;Cdk2;Cdk6;Casp3;Ccnd3;Cdk1
PC1,KEGG,KEGG_PENTOSE_PHOSPHATE_PATHWAY,Pentose Phosphate Pathway,1.135,0.266,0.544,14,TRUE,Prps1;Aldoa;Taldo1;Gpi
PC1,KEGG,KEGG_PEROXISOME,Peroxisome,1.373,0.0885,0.295,32,FALSE,Abcd3;Eci2;Acsl5;Acsl1;Pex13;Acsl3;Prdx1;Nudt19;Idh2
PC1,KEGG,KEGG_PORPHYRIN_AND_CHLOROPHYLL_METABOLISM,Porphyrin & Chlorophyll Metabolism,1.308,0.158,0.417,14,FALSE,Blvra;Blvrb;Alad;Cpox;Urod
PC1,KEGG,KEGG_PPAR_SIGNALING_PATHWAY,Ppar Signaling,-0.963,0.512,0.726,19,TRUE,Dbi;Scp2;Fabp3;Acaa1a;Fabp5;Acadl
PC1,KEGG,KEGG_PROGESTERONE_MEDIATED_OOCYTE_MATURATION,Progesterone Mediated Oocyte Maturation,1.617,0.0172,0.0956,16,TRUE,Cdk2;Gnai2;Gnai3;Mapk14;Cdk1;Hsp90ab1;Mad2l1
PC1,KEGG,KEGG_PROPANOATE_METABOLISM,Propanoate Metabolism,2.341,5.36e-6,2.68e-4,20,TRUE,Ldhb;Acat2;Aldh7a1;Aldh9a1;Aldh2;Ldha;Acadm;Suclg2;Acaca;Echs1;Aldh6a1;Hibch;Aldh3a2
PC1,KEGG,KEGG_PROTEASOME,Proteasome,2.217,3.13e-5,7.82e-4,22,FALSE,Psmb5;Psma3;Psmc4;Psmd13;Psmb2;Psmb3;Psma6;Psma4;Psma2;Psma7;Psmd12;Psmd8;Psma1;Psmc6;Psme2;Psmd14
PC1,KEGG,KEGG_PROTEIN_EXPORT,Protein Export,1.277,0.171,0.417,11,FALSE,Sec61a1;Oxa1l;Sec11a;Spcs3
PC1,KEGG,KEGG_PURINE_METABOLISM,Purine Metabolism,1.415,0.0659,0.235,38,FALSE,Prps1;Aprt;Gmps;Pnp;Adsl;Hprt1;Nt5c3a;Gart;Impdh2;Polr2g;Nme1;Polr1c;Itpa
PC1,KEGG,KEGG_PYRIMIDINE_METABOLISM,Pyrimidine Metabolism,1.269,0.161,0.417,29,FALSE,Uck2;Pnp;Cad;Umps;Nt5c3a;Uck1;Polr2g;Nme1;Polr1c;Itpa;Txnrd1
PC1,KEGG,KEGG_PYRUVATE_METABOLISM,Pyruvate Metabolism,2.033,3.58e-4,0.00477,21,FALSE,Ldhb;Acat2;Aldh7a1;Aldh9a1;Mdh2;Aldh2;Ldha;Acaca;Pdhb;Me2;Aldh3a2
PC1,KEGG,KEGG_REGULATION_OF_ACTIN_CYTOSKELETON,Reg. Actin Cytoskel.,-0.807,0.85,0.934,57,FALSE,Mylk;Rhoa;Ezr;Itga5;Pak4;Itgav;Wasl;Pxn;Msn;Rock1;Csk;Arhgef12;Ptk2;Pak3;Hras;Raf1;Cfl1;Araf;Wasf2;Myl11
PC1,KEGG,KEGG_RIBOSOME,Ribosome,1.18,0.24,0.529,14,FALSE,Rplp0;Rps27l;Rps2;Rpl22;Rps5;Rps10;Rps3
PC1,KEGG,KEGG_RIG_I_LIKE_RECEPTOR_SIGNALING_PATHWAY,Rig I Like Receptor Signaling,0.595,0.953,0.963,14,FALSE,Nfkb1;Mapk14;Ikbkb;Tkfc
PC1,KEGG,KEGG_RNA_DEGRADATION,RNA Degradation,0.794,0.77,0.885,22,FALSE,Eno1;Skic3;Dcps
PC1,KEGG,KEGG_SNARE_INTERACTIONS_IN_VESICULAR_TRANSPORT,Snare Interactions In Vesicular Transport,-1.391,0.109,0.329,16,FALSE,Vamp3;Stx12;Stx7;Stx4;Snap23;Vamp8;Vamp4;Vamp5;Bet1
PC1,KEGG,KEGG_SPLICEOSOME,Spliceosome,0.719,0.884,0.951,39,FALSE,Snrpd3;Hspa2;U2af1;Ncbp2;Pcbp1
PC1,KEGG,KEGG_STARCH_AND_SUCROSE_METABOLISM,Starch & Sucrose Metabolism,1.667,0.0118,0.0714,16,TRUE,Ugdh;Pygb;Ugp2;Gpi;Hk2;Pygm;Pgm1;Agl
PC1,KEGG,KEGG_TGF_BETA_SIGNALING_PATHWAY,TGF Beta Signaling,-0.961,0.533,0.726,18,TRUE,Tgfb2;Rhoa;Skp1;Cdkn2b;Rock1;Fst
PC1,KEGG,KEGG_TIGHT_JUNCTION,Tight Junction,1.147,0.249,0.529,44,TRUE,Rras;Cdk4;Actb;Src;Actn1;Ppp2cb;Myh7;Ctnnb1;Gnai2;Gnai3
PC1,KEGG,KEGG_TOLL_LIKE_RECEPTOR_SIGNALING_PATHWAY,Toll Like Receptor Signaling,0.837,0.684,0.853,18,TRUE,Nfkb1;Rac1;Mapk14;Ikbkb
PC1,KEGG,KEGG_TRYPTOPHAN_METABOLISM,Tryptophan Metabolism,1.608,0.0507,0.22,14,FALSE,Acat2;Aldh7a1;Aldh9a1;Aldh2;Echs1;Aldh3a2
PC1,KEGG,KEGG_T_CELL_RECEPTOR_SIGNALING_PATHWAY,T Cell Receptor Signaling,-0.868,0.691,0.853,30,FALSE,Ppp3r1;Rhoa;Ikbkg;Pak4;Gsk3b;Map3k7;Cbl;Pak3;Hras;Raf1;Rela
PC1,KEGG,KEGG_UBIQUITIN_MEDIATED_PROTEOLYSIS,Ubiquitin Mediated Proteolysis,1.549,0.0242,0.127,27,TRUE,Smurf1;Rbx1;Ube2d3;Ddb1;Cul4a;Ube2n;Cblb;Cul1;Pml;Fbxo4;Mid1;Cul3
PC1,KEGG,KEGG_VALINE_LEUCINE_AND_ISOLEUCINE_DEGRADATION,Valine Leucine & Isoleucine Degradation,2.038,3.81e-4,0.00477,29,FALSE,Acat2;Aldh7a1;Bcat1;Aldh9a1;Aldh2;Acadm;Echs1;Aldh6a1;Dbt;Hibch;Acaa2;Mccc2;Auh;Aldh3a2
PC1,KEGG,KEGG_VASCULAR_SMOOTH_MUSCLE_CONTRACTION,Vascular Smooth Muscle Contraction,-1.376,0.095,0.297,19,FALSE,Mylk;Rhoa;Cald1;Rock1;Avpr1a;Arhgef12;Prkce;Raf1;Araf;Prkcd
PC1,KEGG,KEGG_VEGF_SIGNALING_PATHWAY,Vegf Signaling,-0.646,0.931,0.963,19,FALSE,Ppp3r1;Pxn;Hspb1;Ptk2;Hras;Raf1
PC1,KEGG,KEGG_WNT_SIGNALING_PATHWAY,WNT Signaling,1.149,0.254,0.529,31,FALSE,Rbx1;Ppp2cb;Ccnd1;Cacybp;Ctnnb1;Rac1;Ccnd3;Ctbp1;Cul1
PC2,KEGG,KEGG_ADHERENS_JUNCTION,Adherens Junction,-1.144,0.265,0.896,28,TRUE,Cdc42;Wasf2;Ctnnd1;Actn4;Csnk2a2;Mapk1;Tjp1
PC2,KEGG,KEGG_ADIPOCYTOKINE_SIGNALING_PATHWAY,Adipocytokine Signaling,1.148,0.244,0.896,19,TRUE,Prkab1;Nfkb1;Adipor1;Akt2;Acsl3;Cpt1a;Acsl1;Ikbkb;Prkag1;Stat3
PC2,KEGG,KEGG_ALANINE_ASPARTATE_AND_GLUTAMATE_METABOLISM,Alanine Aspartate & Glutamate Metabolism,0.505,0.986,0.996,10,TRUE,Asns;Cad;Gfpt1
PC2,KEGG,KEGG_AMINO_SUGAR_AND_NUCLEOTIDE_SUGAR_METABOLISM,Amino Sugar & Nucleotide Sugar Metabolism,1.3,0.141,0.896,24,TRUE,Cyb5r1;Galk1;Galk2;Cyb5r3;Nagk;Gmppa;Ugp2;Pgm3
PC2,KEGG,KEGG_AMYOTROPHIC_LATERAL_SCLEROSIS_ALS,Amyotrophic Lateral Sclerosis Als,-1.074,0.345,0.896,16,TRUE,Ppp3r1;Casp3;Cat;Bax;Bid;Apaf1;Mapk14
PC2,KEGG,KEGG_ANTIGEN_PROCESSING_AND_PRESENTATION,Antigen Processing & Presentation,-0.789,0.735,0.954,14,TRUE,Hsp90aa1;Hspa5;Hspa4
PC2,KEGG,KEGG_APOPTOSIS,Apoptosis,-0.754,0.837,0.996,27,TRUE,Xiap;Akt1;Ppp3r1;Casp3;Prkaca;Bax;Casp7;Bid;Apaf1
PC2,KEGG,KEGG_ARGININE_AND_PROLINE_METABOLISM,Arginine & Proline Metabolism,-0.645,0.928,0.996,19,TRUE,Gls;Oat;P4ha1;Glud1;Sms;Aldh3a2
PC2,KEGG,KEGG_ARRHYTHMOGENIC_RIGHT_VENTRICULAR_CARDIOMYOPATHY_ARVC,ARVC,-0.861,0.669,0.954,22,FALSE,Sgcb;Actn4;Itga7;Itga3;Itgav;Sgcd;Itga4
PC2,KEGG,KEGG_AXON_GUIDANCE,Axon Guidance,-1.769,0.0044,0.22,31,TRUE,Nck2;Dpysl2;Pak1;Cdc42;Rock1;Cxcl12;Mapk1;Abl1;Ppp3r1;Arhgef12;Plxnb2;Pak4;Slit2;Sema3c
PC2,KEGG,KEGG_BETA_ALANINE_METABOLISM,Beta Alanine Metabolism,-1.015,0.451,0.896,10,TRUE,Hibch;Sms;Aldh3a2;Mlycd;Aldh7a1
PC2,KEGG,KEGG_BUTANOATE_METABOLISM,Butanoate Metabolism,-1.325,0.147,0.896,14,FALSE,Acat1;Acads;Bdh2;Aldh3a2;Acat2;Pdhb;Hadh;Aldh7a1;Hmgcl
PC2,KEGG,KEGG_B_CELL_RECEPTOR_SIGNALING_PATHWAY,B Cell Receptor Signaling,1.023,0.408,0.896,18,TRUE,Raf1;Nfkb1;Cd81;Sos1;Grb2;Akt2
PC2,KEGG,KEGG_CALCIUM_SIGNALING_PATHWAY,Calcium Signaling,0.826,0.721,0.954,24,TRUE,Slc25a5;Slc25a4;Prkca;Plcg1;F2r;Gna14;Atp2a1;Gnas;Mylk;Atp2b4
PC2,KEGG,KEGG_CARDIAC_MUSCLE_CONTRACTION,Cardiac Muscle Contraction,-0.971,0.514,0.896,28,FALSE,Atp1a1;Cox7a2;Cox5a;Cox4i1;Tnnc1;Atp1b1;Uqcrb;Cox7a2l;Uqcrc2;Uqcrh;Tpm3;Atp2a2
PC2,KEGG,KEGG_CELL_ADHESION_MOLECULES_CAMS,Cell Adhesion Molecules Cams,-1.025,0.432,0.896,18,TRUE,Pvr;Jam3;Icoslg;Itgav;Icam1;Ncam1;Itga4
PC2,KEGG,KEGG_CELL_CYCLE,Cell Cycle,1.062,0.37,0.896,41,TRUE,Ywhaq;Hdac2;Ywhaz;Hdac1;Cul1;Mcm5;Mcm4;Pcna;Cdkn2c
PC2,KEGG,KEGG_CHEMOKINE_SIGNALING_PATHWAY,Chemokine Signaling,-0.689,0.936,0.996,37,FALSE,Pak1;Cdc42;Rock1;Akt1;Cxcl12;Mapk1;Prkaca;Pxn
PC2,KEGG,KEGG_CITRATE_CYCLE_TCA_CYCLE,Citrate Cycle TCA Cycle,-1.047,0.413,0.896,22,FALSE,Dlat;Dld;Suclg1;Mdh1;Aco2
PC2,KEGG,KEGG_DILATED_CARDIOMYOPATHY,Dilated Cardiomyopathy,-1.006,0.454,0.896,27,TRUE,Sgcb;Tnnc1;Itga7;Itga3;Prkaca;Itgav;Sgcd;Itga4;Tpm3;Atp2a2
PC2,KEGG,KEGG_DNA_REPLICATION,DNA Replication,-0.885,0.648,0.954,20,FALSE,Mcm3;Rfc2;Mcm2;Rfc3;Lig1;Mcm6;Pold1
PC2,KEGG,KEGG_ECM_RECEPTOR_INTERACTION,Ecm Receptor Interaction,0.649,0.949,0.996,27,FALSE,Col4a2;Col11a1;Sdc2;Itgb5;Col5a1;Col4a1;Lamc1;Cd44;Col3a1;Col5a3;Col1a1;Col5a2
PC2,KEGG,KEGG_ENDOCYTOSIS,Endocytosis,-0.946,0.541,0.896,43,TRUE,Mvb12a;Rabep1;Cdc42;Usp8;Tsg101;Tfrc;Dnm1l;Rab4a;Pikfyve;Nedd4;Hspa1l;Arf6;Cbl
PC2,KEGG,KEGG_ERBB_SIGNALING_PATHWAY,Erbb Signaling,-0.948,0.536,0.896,27,FALSE,Nck2;Pak1;Akt1;Cdkn1a;Jun;Mapk1;Abl1
PC2,KEGG,KEGG_FATTY_ACID_METABOLISM,FA Metabolism,-0.974,0.508,0.896,28,FALSE,Acat1;Acadvl;Acads;Acsl4;Eci1;Cpt2;Hadhb;Aldh3a2;Acat2;Acox1;Hadh;Acaa1a;Aldh7a1;Acadsb
PC2,KEGG,KEGG_FC_EPSILON_RI_SIGNALING_PATHWAY,Fc Epsilon Ri Signaling,1.391,0.105,0.896,17,FALSE,Raf1;Prkce;Prkca;Sos1;Grb2;Map2k3;Plcg1;Gab2;Akt2
PC2,KEGG,KEGG_FC_GAMMA_R_MEDIATED_PHAGOCYTOSIS,Fc Gamma R Mediated Phagocytosis,0.834,0.702,0.954,27,FALSE,Arpc5l;Raf1;Prkce;Prkca;Arpc2;Plcg1;Plpp1;Gab2;Akt2
PC2,KEGG,KEGG_FOCAL_ADHESION,Focal Adhesion,-0.962,0.517,0.896,73,FALSE,Pten;Pak1;Flnb;Cdc42;Rock1;Xiap;Akt1;Actn4;Jun;Mapk1;Itga7;Itga3;Parva;Itgav;Ccnd2;Pxn;Tnc;Pak4
PC2,KEGG,KEGG_FRUCTOSE_AND_MANNOSE_METABOLISM,Fructose & Mannose Metabolism,-0.412,0.998,0.998,13,TRUE,Pfkl;Sord;Hk2;Hk1;Pfkp;Pmm1;Gfus;Pmm2;Mpi;Tpi1;Pfkm;Aldoa;Gmppa
PC2,KEGG,KEGG_GALACTOSE_METABOLISM,Galactose Metabolism,0.676,0.87,0.996,13,TRUE,Galk1;Galk2
PC2,KEGG,KEGG_GAP_JUNCTION,Gap Junction,1.176,0.233,0.896,21,TRUE,Raf1;Prkca;Sos1;Grb2;Gnai3;Tubb5;Tuba3a;Src;Gnas;Gja1;Tubb2a
PC2,KEGG,KEGG_GLUTATHIONE_METABOLISM,Glutathione Metabolism,-1.093,0.346,0.896,18,TRUE,Gstt2;Gclc;Gss;Gclm;Gsr;Sms;Idh2
PC2,KEGG,KEGG_GLYCEROLIPID_METABOLISM,Glycerolipid Metabolism,-0.663,0.89,0.996,14,TRUE,Gla;Agpat4;Tkfc;Aldh3a2;Gpat4;Akr1a1;Aldh7a1
PC2,KEGG,KEGG_GLYCEROPHOSPHOLIPID_METABOLISM,Glycerophospholipid Metabolism,-0.63,0.916,0.996,12,FALSE,Pla2g4a;Agpat4
PC2,KEGG,KEGG_GLYCOLYSIS_GLUCONEOGENESIS,Glycolysis Gluconeogenesis,-1.168,0.22,0.896,32,TRUE,Dlat;Dld;Gapdh;Pfkl;Aldh3a1;Pgk1;Galm;Pgm1;Pgm2;Hk2;Ldha;Eno1;Aldh3a2;Pdhb;Hk1;Akr1a1;Aldh7a1
PC2,KEGG,KEGG_GNRH_SIGNALING_PATHWAY,Gnrh Signaling,-0.926,0.553,0.896,17,TRUE,Cdc42;Pla2g4a;Mmp14;Jun;Mapk1;Prkaca
PC2,KEGG,KEGG_INSULIN_SIGNALING_PATHWAY,Insulin Signaling,1.393,0.0723,0.896,36,TRUE,Prkab1;Ptpn1;Pygm;Raf1;Prkar2b;Araf;Gys1;Sos1;Grb2;Tsc2;Akt2;Trip10
PC2,KEGG,KEGG_JAK_STAT_SIGNALING_PATHWAY,JAK Stat Signaling,-0.573,0.972,0.996,20,TRUE,Akt1;Ccnd2;Jak1;Cbl;Stat2;Stat1
PC2,KEGG,KEGG_LEUKOCYTE_TRANSENDOTHELIAL_MIGRATION,Leukocyte Transendothelial Migration,-1.058,0.337,0.896,34,TRUE,Cdc42;Rock1;Ctnnd1;Actn4;Ezr;Cxcl12;Jam3;Icam1;Thy1;Pxn;Itga4;Mapk14
PC2,KEGG,KEGG_LONG_TERM_DEPRESSION,Long Term Depression,1.041,0.407,0.896,13,FALSE,Raf1;Araf;Prkca;Gnai3;Gnao1;Gnas
PC2,KEGG,KEGG_LONG_TERM_POTENTIATION,Long Term Potentiation,1.261,0.187,0.896,10,FALSE,Raf1;Rps6ka3;Araf;Prkca
PC2,KEGG,KEGG_LYSINE_DEGRADATION,Lysine Degradation,1.119,0.291,0.896,15,TRUE,Plod1;Gcdh;Plod3;Ogdh
PC2,KEGG,KEGG_LYSOSOME,Lysosome,0.941,0.55,0.896,30,TRUE,Atp6v0a1;Cltc;Atp6v0c;Atp6v0d1;Fuca1;M6pr;Ctsl;Tcirg1;Lgmn
PC2,KEGG,KEGG_MAPK_SIGNALING_PATHWAY,MAPK Signaling,-1.021,0.414,0.896,49,FALSE,Hspb1;Pak1;Flnb;Cdc42;Pla2g4a;Akt1;Jun;Mapk1;Ppp3r1;Casp3;Prkaca;Ppm1b
