contrast,database,pathway,label,NES,pval,padj,size,dedup_kept,leadingEdge
PC1,Reactome,REACTOME_S_PHASE,S Phase,2.058,2.06e-5,3.85e-4,59,FALSE,Cdk4;Psmb5;Psma3;Psmc4;Psmd13;Psmb2;Psmb3;Psma6;Psma4;Rbx1;Psma2;Ccnd1;Psma7;Cdk2;Psmd12;Psmd8;Psma1;Mcm7;Rfc5;Cul1;Psmc6;Rfc3;Rpa1;Psmd14;Mcm6;Rfc4;Mcm2
PC1,Reactome,REACTOME_TAK1_DEPENDENT_IKK_AND_NF_KAPPA_B_ACTIVATION,Tak1 Dependent Ikk & Nf Kappa B Activation,0.913,0.576,0.726,12,FALSE,Ube2n;Nfkb1;Ikbkb;Usp14
PC1,Reactome,REACTOME_TCR_SIGNALING,Tcr Signaling,1.843,0.00192,0.0113,40,FALSE,Psmb5;Psma3;Psmc4;Psmd13;Psmb2;Psmb3;Psma6;Psma4;Psma2;Psma7;Psmd12;Psmd8;Ube2n;Nfkb1;Psma1;Ikbkb;Cul1;Psmc6
PC1,Reactome,REACTOME_TGF_BETA_RECEPTOR_SIGNALING_ACTIVATES_SMADS,TGF Beta Receptor Signaling Activates Smads,1.076,0.323,0.507,18,TRUE,Xpo1;Ppp1ca;Smurf1;Uchl5
PC1,Reactome,REACTOME_THE_ROLE_OF_GTSE1_IN_G2_M_PROGRESSION_AFTER_G2_CHECKPOINT,The Role Of Gtse1 In G2 M Progression After G2 Checkpoint,2.276,1.5e-5,3.34e-4,29,FALSE,Psmb5;Psma3;Psmc4;Psmd13;Psmb2;Tuba4a;Psmb3;Psma6;Psma4;Psma2;Psma7;Psmd12;Psmd8;Tuba3a;Psma1;Cdk1;Psmc6;Psmd14;Hsp90ab1
PC1,Reactome,REACTOME_TNFR2_NON_CANONICAL_NF_KB_PATHWAY,Tnfr2 Non Canonical Nf Kb Pathway,2.127,1.89e-4,0.00196,26,FALSE,Psmb5;Psma3;Psmc4;Psmd13;Psmb2;Psmb3;Psma6;Psma4;Psma2;Psma7;Psmd12;Psmd8;Psma1;Cul1;Psmc6;Psmd14
PC1,Reactome,REACTOME_TNF_SIGNALING,Tnf Signaling,0.904,0.609,0.755,16,TRUE,Rack1;Ube2d3;Ikbkb
PC1,Reactome,REACTOME_TOLL_LIKE_RECEPTOR_CASCADES,Toll Like Receptor Cascades,1.064,0.36,0.544,36,FALSE,Ube2d3;Ppp2cb;Dusp3;Ube2n;Nfkb1;Mapk14;Ikbkb;Cul1;Usp14;Hsp90b1;Ecsit
PC1,Reactome,REACTOME_TP53_REGULATES_METABOLIC_GENES,Tp53 Regulates Metabolic Genes,1.036,0.391,0.575,35,TRUE,Prdx2;Ywhah;Gpi;Prdx1;Ywhae;Ywhab
PC1,Reactome,REACTOME_TP53_REGULATES_TRANSCRIPTION_OF_CELL_CYCLE_GENES,Tp53 Regulates Transcription Of Cell Cycle Genes,-0.835,0.673,0.816,11,TRUE,Cdkn1b;Bax;Npm1;Cnot2
PC1,Reactome,REACTOME_TP53_REGULATES_TRANSCRIPTION_OF_DNA_REPAIR_GENES,Tp53 Regulates Transcription Of DNA Repair Genes,-0.432,1,1,21,FALSE,Polr2i;Supt5h;Gtf2f1;Msh2;Tcea1
PC1,Reactome,REACTOME_TRANSCRIPTIONAL_ACTIVITY_OF_SMAD2_SMAD3_SMAD4_HETEROTRIMER,Transcriptional Activity Of Smad2 Smad3 Smad4 Heterotrimer,-0.834,0.684,0.825,17,TRUE,Col1a2;Stat1;Cdkn2b;Ncor2;Sp1;Smad2;Ppm1a
PC1,Reactome,REACTOME_TRANSCRIPTIONAL_AND_POST_TRANSLATIONAL_REGULATION_OF_MITF_M_EXPRESSION_AND_ACTIVITY,MITF-M Regulation,1.969,0.00122,0.00793,18,TRUE,Xpo1;Rars1;Aimp2;Ywhah;Ywhae;Ywhab;Ctnnb1;Iars1;Mark3;Ywhag
PC1,Reactome,REACTOME_TRANSCRIPTIONAL_REGULATION_BY_MECP2,Transcriptional Regulation By Mecp2,-1.137,0.279,0.458,12,TRUE,Lbr;Slc2a3;Ncor2;Ago2;Tnrc6b
PC1,Reactome,REACTOME_TRANSCRIPTIONAL_REGULATION_BY_RUNX1,Transcriptional Regulation By Runx1,1.963,2.42e-4,0.00219,44,TRUE,Psmb5;Psma3;Psmc4;Psmd13;Psmb2;Psmb3;Psma6;Psma4;Src;Psma2;Ccnd1;Psma7;Lgals3;Psmd12;Psmd8;Cdk6;Ccnd3;Psma1;Psmc6;Pml;Psmd14
PC1,Reactome,REACTOME_TRANSCRIPTIONAL_REGULATION_BY_RUNX2,Transcriptional Regulation By Runx2,1.957,3.46e-4,0.00284,46,FALSE,Cdk4;Psmb5;Psma3;Psmc4;Psmd13;Psmb2;Smurf1;Psmb3;Psma6;Psma4;Src;Rbx1;Psma2;Ccnd1;Psma7;Lgals3;Psmd12;Psmd8
