gene,localization
Tubg2,Nuclear
Paxbp1,Nuclear
Smg5,Nuclear
Qsox2,Nuclear
Snrpg,Other
Pmf1,Nuclear
Vps25,Other
Slbp,Other
Hmgb4l2,Nuclear
Dnase1l2,Nuclear
Pcgf5,Nuclear
Cenph,Nuclear
Polr2sl1,Nuclear
Skor2,Nuclear
Dbr1,Nuclear
Cxxc5l1,Nuclear
E4f1,Nuclear
Nufip2,Other
Zcwpw2,Nuclear
Cenpwl1,Nuclear
Lrmda,Nuclear
Cops9,Nuclear
Prr19,Nuclear
Hnrnpa0,Nuclear
Erh,Nuclear
Rps27l,Other
Rnf13,Nuclear
Cux1-ps1,Nuclear
Ints6l,Nuclear
Jarid2,Nuclear
Stpg4,Nuclear
Mlip,Other
Utf1,Nuclear
Mpnd,Nuclear
Ppp2r3b,Nuclear
Nom1,Nuclear
Mnx1,Nuclear
Taf4,Nuclear
Cgas,Other
Zfp748-ps1,Nuclear
Zfp945l1,Nuclear
Nkx3-2,Nuclear
Kdm3b,Nuclear
Wasl,Other
Sumo4,Nuclear
Dcaf12,Other
Mageb11,Nuclear
Taf12,Nuclear
Rcc1,Nuclear
Zfp326,Nuclear
Zfp551,Nuclear
Isx,Nuclear
Med18,Nuclear
Tnfaip3,Nuclear
Dppa2,Nuclear
Sin3b,Nuclear
Ankrd33,Other
Zfp639,Nuclear
Tead4,Nuclear
Hmgn4-ps8,Nuclear
Jmy,Nuclear
Zscan2,Nuclear
Lbh,Nuclear
Mat2b,Nuclear
Ints15,Nuclear
Cep43,Nuclear
Bend3,Nuclear
Cstf2,Nuclear
Rps13l1,Other
Nup43,Nuclear
Nr2e1,Nuclear
E2f2,Nuclear
Lsm2,Nuclear
Rd3,Nuclear
Trim68,Other
Rcor3,Other
Rbm15,Nuclear
Kdm7a,Nuclear
Eif6-ps1,Other
Hint1l2,Nuclear
Cenpo,Nuclear
H2bl1,Nuclear
Crtc1,Other
Upf1,Other
H1f2,Nuclear
Cdca5,Nuclear
H2ac23,Nuclear
H4f3,Nuclear
Tcim,Nuclear
Zfp449,Nuclear
Ccdc9,Nuclear
Zmat4,Nuclear
Tsc22d4,Nuclear
Mplkip,Nuclear
Rnf169,Other
Esco2-ps1,Nuclear
Anapc13,Nuclear
Atr,Nuclear
Msrb1,Nuclear
Gemin7l1,Nuclear
Rarg,Nuclear
Zfp318,Nuclear
Meiob,Nuclear
Nkx6-3,Nuclear
Cfap299,Nuclear
Smarcc2,Nuclear
Psme1-ps1,Nuclear
Efcc1,Nuclear
Tal2,Nuclear
Gpatch8,Nuclear
Eny2,Nuclear
Hmgb4,Nuclear
Taf7l-ps1,Nuclear
Snrpc-ps3,Nuclear
Hint1l1,Nuclear
Rpp30,Nuclear
En1,Nuclear
Dppa4,Nuclear
Ppp1r26,Nuclear
Fam53c,Nuclear
Polr3g,Nuclear
Zfp385a,Other
Clgn,Nuclear
Gtf3c4,Nuclear
Zfp334,Nuclear
Zfp59,Nuclear
Tp53rka,Other
Eid2,Nuclear
Macrod2,Nuclear
Supt3h,Nuclear
Hoxa6,Nuclear
Isg20l3,Nuclear
Dnajb7,Nuclear
Ubxn2a,Other
Lrr1,Nuclear
Jazf1,Nuclear
Srrm3,Nuclear
Svep1,Nuclear
H2az2,Nuclear
Rsl1,Nuclear
Zc3h10,Nuclear
Pfn3,Nuclear
Shoc1,Nuclear
Sorbs1,Other
Frg1,Nuclear
Meis1,Nuclear
Fam47e,Other
Cabyr,Other
Wdr82,Nuclear
Ppm1m,Nuclear
Trip6,Other
Sall4,Nuclear
Iqsec1,Other
Sinhcaf,Nuclear
Ipo8,Other
Larp7,Nuclear
Srrt,Nuclear
Mphosph6,Nuclear
Hdac9,Nuclear
Dedd2,Nuclear
Zfp526,Nuclear
Kri1,Nuclear
Dtx1,Other
Foxf1,Nuclear
Foxl1,Nuclear
U2af1,Nuclear
Snrpgl1,Other
Elp4,Nuclear
Snrpd3,Other
Eeig1,Nuclear
Haspin,Nuclear
Zfp106,Nuclear
Thap2,Nuclear
Suz12,Nuclear
Tra2b-ps3,Nuclear
Hsf5,Nuclear
Mbtd1,Nuclear
Tmc8,Nuclear
Tmc6,Nuclear
Afmid,Other
Eif4a3,Nuclear
Ccdc137,Nuclear
Cenpx,Nuclear
Znf750,Nuclear
Gpn1,Other
Mab21l1,Nuclear
Cdk2ap2,Nuclear
Dydc2,Nuclear
Dydc1,Nuclear
Rps27a-ps6,Other
Usp21,Other
Tcf23,Nuclear
Cetn4,Nuclear
Smim45,Nuclear
Kat6b,Nuclear
Wdr36,Nuclear
Wbp2nl,Nuclear
Prdm12,Nuclear
Hmgb4l4,Nuclear
Dgki,Other
Tulp3,Nuclear
Ptp4a1l3,Nuclear
Trim8,Other
Pmp2,Other
Mcidas,Nuclear
Tbx10,Nuclear
Nudt16l2,Nuclear
Nap1l5,Nuclear
Zbtb32,Nuclear
Ip6k3,Nuclear
Nol11,Nuclear
Dcun1d2,Nuclear
Hspa8-ps23,Other
Ecd,Other
Trnp1,Nuclear
Hoxd9,Nuclear
Tbpl1,Nuclear
C10h17orf50,Nuclear
Lin28b,Other
Rad51ap1,Nuclear
Chml,Other
Ncbp2,Other
Ptmal3,Nuclear
Zbtb34,Nuclear
Kin,Other
Prob1,Nuclear
Spdef,Nuclear
Mis18bp1,Nuclear
Mapk11,Other
Ell2l1,Nuclear
Cenpw,Nuclear
H2az2l2,Nuclear
Mt2,Nuclear
LOC689481,Other
Frg1-ps1,Nuclear
Lin9,Nuclear
Ryr2,Nuclear
Kdm4d,Nuclear
Oaz3,Nuclear
Dnajb2,Other
Themis3,Nuclear
Nrip2,Nuclear
Aunip,Nuclear
Prdm13,Nuclear
Vsx1,Nuclear
Rnf212,Nuclear
Prdm5,Nuclear
Kmt5a,Nuclear
Rad21l1,Nuclear
Anxa9,Other
Maml2,Nuclear
Magea4,Nuclear
Msgn1,Nuclear
Setdb1,Nuclear
Srsf1,Other
Ankrd61,Nuclear
Ccdc62,Nuclear
Sox30,Other
Syce3,Nuclear
Setd7,Nuclear
Piwil4,Nuclear
Nrsn2,Nuclear
Sox12,Nuclear
Hils1,Nuclear
Wdr4,Other
Xlr3a,Nuclear
Rnf168,Nuclear
Tatdn1,Nuclear
Bcl7a,Nuclear
H2ac21,Nuclear
Hist2h2aa2,Nuclear
Zfp939,Nuclear
Tmem120b,Nuclear
Rbm24,Other
Hfm1,Nuclear
Harbi1,Other
H3f3a-ps3,Nuclear
Nek2l1,Nuclear
Wdr74,Nuclear
Pot1b,Nuclear
Sumo2,Other
Senp5l1,Nuclear
Polr3gl,Nuclear
Yaf2,Nuclear
Tmem179b,Nuclear
Hlf,Nuclear
Pwp2,Nuclear
Magohb,Nuclear
Tsen54,Nuclear
Zfp141,Nuclear
Ctag2l1,Nuclear
Prdm11,Other
Il15ra,Nuclear
Trim47,Other
Tex12,Nuclear
Zfp709l1,Nuclear
Nr1h5,Nuclear
Catip,Nuclear
Taf1b,Nuclear
Cys1,Other
Kpna7,Nuclear
Hmgb1l3,Nuclear
Pou2af1,Nuclear
Scai,Nuclear
Zfp758,Nuclear
Tcl1a,Other
Alyref,Nuclear
Fbxo3,Nuclear
Hint1,Other
Zfp40,Nuclear
Ddx19b,Nuclear
Ints13,Nuclear
Mlkl,Other
Med12l,Nuclear
H2aj,Nuclear
Adat1,Nuclear
Klf16,Nuclear
Rps4x-ps13,Other
Stk33,Nuclear
Zfp426,Nuclear
Spen,Nuclear
Dera,Nuclear
Polr2e,Nuclear
Dppa3l1,Nuclear
Ybx1-ps24,Nuclear
Aspscr1,Other
Hmgb4l5,Nuclear
Mamstr,Nuclear
Fam111al1,Nuclear
Tex19.2,Nuclear
Zfp418l1,Nuclear
Saal1,Nuclear
Epop,Nuclear
2610008E11Rikl,Nuclear
Elof1,Nuclear
Cimap3,Nuclear
Gemin5,Other
Rhoxf13,Nuclear
Rex2,Nuclear
Shox1,Nuclear
Adad2,Nuclear
Zfp933,Nuclear
Ppp2r5c,Other
Obox2l1,Nuclear
Ice2,Nuclear
Smg1,Nuclear
Foxb2,Nuclear
Zfp81,Nuclear
Tmem201,Nuclear
Zfpl,Nuclear
H2bc27,Nuclear
Ptmal1,Nuclear
Snapc5,Nuclear
Zfpm1,Nuclear
Rps28,Other
Nop10,Nuclear
Rnpc3,Nuclear
Katnbl1,Nuclear
Zbtb42,Nuclear
Chd5,Nuclear
Zfp770,Nuclear
Eid3,Nuclear
C2cd4a,Nuclear
Afg2b,Other
Maz,Nuclear
Pygo1,Nuclear
Obox1,Nuclear
Prr14,Nuclear
Ssx1,Nuclear
Stard9,Nuclear
Terb2,Nuclear
Esco2,Nuclear
Nlrp1b,Other
Rasl2-9,Nuclear
Gnl3l,Nuclear
Trex1,Other
Zfp867,Nuclear
Znf57l,Nuclear
Tug1,Nuclear
Pnrc2,Nuclear
Adat3,Nuclear
Jmjd7,Nuclear
Usp43,Nuclear
Zfp786,Nuclear
Zfp951,Nuclear
Rhoxf3,Nuclear
Hsbp1l1,Other
Hexd,Nuclear
Zfp949,Nuclear
Zfp958,Nuclear
Uty,Nuclear
Parpbp,Nuclear
Ddx3y,Other
Kdm5d,Nuclear
Mir9-1,Nuclear
Mir9-2,Nuclear
Mir206,Nuclear
Mir214,Nuclear
Mir664-2,Nuclear
Mir322,Nuclear
Mir9-3,Nuclear
Snora36c,Nuclear
Nemf,Other
H3f3l1,Nuclear
Zfp683,Nuclear
Zfp628,Nuclear
Hmgn2-ps3,Nuclear
Chmp4b,Other
Phf6,Nuclear
Tipinl1,Nuclear
Ube2d4l1,Nuclear
Setd1b,Nuclear
LOC100359916,Nuclear
Zfp267,Nuclear
Zfp560,Nuclear
Zfp366,Nuclear
Znhit1,Nuclear
Cpsf4l2,Nuclear
Palld,Other
Cbx3l1,Nuclear
Zfp952,Nuclear
Zglp1,Nuclear
Sack1g,Other
Msh6,Nuclear
H3f3a-ps9,Nuclear
Zfp457,Nuclear
Tsr1,Nuclear
Dnajc1,Nuclear
E2f4,Nuclear
Fmn2,Other
Rnh1,Other
Rps12l2,Other
Rps12l1,Other
Nt5c,Other
Fanci,Nuclear
Zranb1,Other
Zfp780b-ps1,Nuclear
Pxt1,Nuclear
Rps12l12,Other
Ubbl2,Other
Rrp36,Nuclear
Rps18l1,Other
Snrpe,Other
Rps27a-ps2,Other
Lsm6l1,Nuclear
Hist1h2ai,Nuclear
Ctcfl1,Nuclear
Zfp715,Nuclear
Hsf3,Nuclear
Psmb6l1,Other
H3f3c,Nuclear
Fosb,Other
Anapc16,Other
Ppial4d,Other
Relb,Other
Ventx,Nuclear
Prmt1l1,Nuclear
Zfp869,Nuclear
Mycbp,Nuclear
Dgkq,Other
Snrpa1,Nuclear
Tyk2,Other
Syce1l,Nuclear
Zfp717,Nuclear
Rad9a,Nuclear
H3f3a,Nuclear
Polr2k,Nuclear
Kmt5al2,Nuclear
LOC100361636,Nuclear
Usp37,Other
Zfp617,Nuclear
Simc1,Nuclear
Zfp34,Nuclear
Setdb2,Nuclear
Hoxb2,Nuclear
Nfatc1,Nuclear
Zfp42l,Nuclear
C1h19orf33,Nuclear
Ikzf4,Nuclear
Zfp42,Nuclear
Zfp27,Nuclear
Zfp494l1,Nuclear
Zfp866,Nuclear
Zfp663,Nuclear
Snrpepl2,Nuclear
Ddb2,Nuclear
Rex2l2,Nuclear
Zfp964,Nuclear
Rhno1-ps2,Nuclear
Mta3,Nuclear
Mrtfb,Nuclear
Tex55,Nuclear
Elp3,Other
Rbisl2,Nuclear
Kmt2d,Nuclear
Rps4x,Other
Zfp945,Nuclear
Epc1,Nuclear
Tiam2,Other
Cdkl5,Nuclear
Cfap74,Nuclear
Ddx55,Other
Hmgn2l2,Nuclear
Rps7-ps23,Other
Zfp648,Nuclear
Rpa3l1,Nuclear
Snurf-ps2,Nuclear
Zfp11,Nuclear
Henmt1,Nuclear
H2al3,Nuclear
Polr2k-ps2,Nuclear
Zfp791,Nuclear
Btbd18,Nuclear
Slbpl,Nuclear
Hmgn2l3,Nuclear
Hnrnpk-ps1,Nuclear
Zfp687,Nuclear
Znf81,Nuclear
Zfp37-ps1,Nuclear
LOC100363428,Nuclear
Mdfic2,Nuclear
Rps10l1,Other
Zfp69,Nuclear
LOC100363472,Nuclear
Ubbl1,Other
Rhoxf9l1,Nuclear
Ccnb2-ps2,Nuclear
Zfp300,Nuclear
Nktr,Other
Btbd8,Nuclear
LOC100364427,Other
Hmgb4l1,Nuclear
Prdm14,Nuclear
Spty2d1,Nuclear
Zfp160,Nuclear
Sf3b6,Nuclear
Nr2e3,Nuclear
Zfp605,Nuclear
Ube2e1,Nuclear
Prdm16,Other
Zfp658l1,Nuclear
Mir208b,Other
Zfp397,Nuclear
Ube2w,Nuclear
Ppp4r3cl3,Nuclear
Znf624l,Nuclear
Zfp239,Nuclear
Zfp433l,Nuclear
Zfp708,Nuclear
LOC100909998,Nuclear
Znf780b,Nuclear
Nkrf,Nuclear
LOC100910078,Nuclear
Xirp1,Nuclear
Usp17la2,Other
Senp2-ps1,Nuclear
Crnkl1,Nuclear
Zfp82,Nuclear
Trappc2b,Nuclear
LOC100910341,Nuclear
Tle7,Nuclear
Zfp41,Nuclear
LOC100910554,Nuclear
Zfp77,Nuclear
Hmgn5,Nuclear
Dnttip2,Nuclear
Ubb-ps1,Nuclear
Trim15,Nuclear
LOC100911055,Nuclear
Znf865,Nuclear
Med7,Nuclear
Znf709l,Nuclear
LOC100911361,Nuclear
Txnl4a,Nuclear
Hoxa10,Nuclear
LOC100911679,Nuclear
Ptgs2os,Other
Tshz2,Nuclear
Znf431l1,Nuclear
Zfp182,Nuclear
Hoxc11,Nuclear
Elobl3,Nuclear
Mipol1,Other
Rps27a,Other
Zfp113,Nuclear
Nupr1,Nuclear
Tro,Nuclear
Itprip,Nuclear
Pimregl1,Nuclear
Fam9c,Nuclear
Zfp873,Nuclear
Sox1,Nuclear
H2bc18,Nuclear
C5h8orf88,Other
Ybx1l1,Nuclear
Nynrin,Nuclear
Nmrk2,Other
Hoxa4,Nuclear
Styx,Nuclear
Insm1,Nuclear
LOC100912568,Nuclear
Zfp950l4,Nuclear
Zfp790l2,Nuclear
Tigd2,Nuclear
Hoxd8,Nuclear
Ak6,Nuclear
Scarna3,Nuclear
Scarna15,Nuclear
Rita1l1,Nuclear
LOC102546572,Nuclear
Zfp658,Nuclear
Nfilz,Nuclear
LOC102546891,Nuclear
Ezhip,Other
Znf845l-ps1,Nuclear
LOC102547287,Nuclear
Znf773,Nuclear
Zfp790,Nuclear
LOC102547700,Nuclear
LOC102547864,Nuclear
Zfp808l1,Nuclear
Zfp623,Nuclear
Zfp950l15,Nuclear
Zfp950l14,Nuclear
Bivm,Nuclear
Znf235,Nuclear
Zfp619,Nuclear
Zfp619l1,Nuclear
Zfp108,Nuclear
LOC102548522,Nuclear
Znf235-ps1,Nuclear
Zfp28,Nuclear
Zfp94l1,Nuclear
Zfp758l1,Nuclear
Parp10,Other
Zfp878,Nuclear
LOC102549131,Nuclear
Znf431l2,Nuclear
Zfp950l16,Nuclear
Xndc1,Nuclear
Samd11,Nuclear
LOC102549716,Other
Zfp748,Nuclear
Samd1,Nuclear
Adnp2l1,Nuclear
Zfp950,Nuclear
Kmt2b,Nuclear
Sprr2f,Nuclear
Zfp938l,Nuclear
Fsbp,Nuclear
LOC102550668,Other
Sprr2d,Nuclear
Rnf212b,Nuclear
Scml1,Nuclear
Zfp948,Nuclear
Tigd4,Nuclear
Zfp950l11,Nuclear
Rex2l4,Nuclear
Znf431l5,Nuclear
Zfp729,Nuclear
Hnrnpr-ps2,Nuclear
Eml3,Nuclear
LOC102551819,Nuclear
Zfp174,Nuclear
Mageb10,Nuclear
Zfp950l5,Nuclear
Zfp808l2,Nuclear
Ctag2l2,Nuclear
Gapdh-ps17,Other
Zfp446,Nuclear
Miat,Nuclear
LOC102552764,Nuclear
Zfp950l13,Nuclear
Zscan22,Nuclear
Tmem94,Nuclear
2010315B03Rikl,Nuclear
Mageb2,Nuclear
Meiosin,Nuclear
LOC102553760,Nuclear
Znf768,Nuclear
Hoxd11,Nuclear
Zfp764,Nuclear
Zfp764l1,Nuclear
Zfp780b,Nuclear
LOC102554278,Nuclear
Zfp688,Nuclear
Zfp120,Nuclear
Zik1,Nuclear
Zfp431l5,Nuclear
LOC102554507,Nuclear
Zfp950l7,Nuclear
Pasd1,Nuclear
Rcor1,Nuclear
Znf431l-ps8,Nuclear
Poln,Nuclear
Zfp647,Nuclear
Zfp146,Nuclear
LOC102555217,Nuclear
Zfp853,Nuclear
Zfp120l1,Nuclear
LOC102555453,Other
Fignl2,Nuclear
Zcchc18,Nuclear
Zfp788,Nuclear
LOC102555852,Nuclear
Znf454,Nuclear
Rbm34-ps1,Nuclear
Zfp664,Nuclear
LOC102556096,Other
Zfp1007l2,Nuclear
Zfp950l8,Nuclear
Zfp950l1,Nuclear
Zfp1007l1,Nuclear
Zfp719,Other
Pura,Nuclear
LOC102557137,Nuclear
Matr3-ps2,Nuclear
Selenbp1,Other
Kdm6a,Nuclear
Senp5,Other
Rps9,Other
Fam124b,Nuclear
Rfwd3,Other
Snrpg-ps8,Nuclear
Zfp78,Nuclear
Hoxa2,Nuclear
Hoxa3,Nuclear
Hoxa1,Nuclear
L3mbtl4,Nuclear
Eid2b,Nuclear
Zfp420,Nuclear
Zfp599,Nuclear
1810024B03Rikl,Other
Hist1h2al1,Nuclear
Znf48,Nuclear
Evx1,Nuclear
LOC103690393,Nuclear
Ssx2,Nuclear
Yy2,Nuclear
LOC103690904,Nuclear
Zfp51,Nuclear
Peg3,Nuclear
Elocl1,Nuclear
C1h19orf84,Nuclear
Zfp696,Nuclear
Frat1,Nuclear
Hoxa11,Nuclear
LOC103692755,Nuclear
Brcc3dc,Nuclear
LOC103692897,Nuclear
Ercc4l1,Nuclear
LOC103693281,Nuclear
Ptges3l,Other
LOC103693502,Nuclear
Zbed6,Nuclear
Lsm5l1,Nuclear
Snrpd3l1,Other
Atxn1l,Nuclear
Sry4,Nuclear
LOC103694537,Nuclear
Zfy1,Nuclear
Rbmy1j,Nuclear
Sry2,Nuclear
Sry3A,Nuclear
Ube1y1,Nuclear
Usp9y,Other
LOC103694587,Nuclear
LOC103694730,Nuclear
Snora19,Nuclear
Mir322-2,Nuclear
Mir1843b,Nuclear
Mir155hg,Nuclear
Zftraf1,Nuclear
Hdac6,Other
Zfp470,Nuclear
Zfp568,Nuclear
Zfp950l12,Nuclear
Zfp239l1,Nuclear
Vps37c,Nuclear
LOC108348215,Nuclear
Zfp808l3,Nuclear
LOC108348229,Nuclear
Phf11a,Nuclear
LOC108348302,Nuclear
Rpl21l3,Other
LOC108348514,Nuclear
Hmgb1l1,Nuclear
Hmgb1l2,Nuclear
LOC108349258,Nuclear
Rbmxl2,Nuclear
LOC108349532,Nuclear
H3f3bl2,Nuclear
Gapdhl2,Other
LOC108349861,Nuclear
Rpl21l6,Other
LOC108350082,Other
Zfp712,Nuclear
Rpl21l2,Other
LOC108350566,Nuclear
Pole4l1,Nuclear
Nop10l1,Nuclear
LOC108350623,Nuclear
LOC108350839,Nuclear
Znf660,Nuclear
LOC108351947,Nuclear
LOC108352066,Nuclear
LOC108352140,Nuclear
LOC108352309,Nuclear
Bola2l2,Nuclear
LOC108353098,Nuclear
Derpc,Nuclear
LOC120093043,Nuclear
LOC120093044,Nuclear
LOC120093045,Nuclear
LOC120093047,Nuclear
LOC120093049,Nuclear
LOC120093051,Nuclear
LOC120093054,Nuclear
LOC120093055,Nuclear
Spopfm2,Nuclear
LOC120093136,Nuclear
Zfp748-ps3,Nuclear
LOC120093276,Nuclear
LOC120093277,Nuclear
Rnu6-8,Nuclear
LOC120093279,Nuclear
LOC120093280,Nuclear
LOC120093281,Nuclear
LOC120093282,Nuclear
LOC120093283,Nuclear
LOC120093284,Nuclear
LOC120093285,Nuclear
LOC120093286,Nuclear
LOC120093287,Nuclear
LOC120093288,Nuclear
LOC120093289,Nuclear
LOC120093290,Nuclear
LOC120093291,Nuclear
LOC120093292,Nuclear
LOC120093293,Nuclear
LOC120093294,Nuclear
LOC120093295,Nuclear
LOC120093296,Nuclear
LOC120093297,Nuclear
LOC120093298,Nuclear
LOC120093299,Nuclear
LOC120093300,Nuclear
LOC120093301,Nuclear
LOC120093302,Nuclear
LOC120093303,Nuclear
LOC120093304,Nuclear
LOC120093305,Nuclear
LOC120093306,Nuclear
LOC120093307,Nuclear
LOC120093308,Nuclear
LOC120093309,Nuclear
LOC120093310,Nuclear
LOC120093311,Nuclear
LOC120093312,Nuclear
LOC120093313,Nuclear
LOC120093314,Nuclear
LOC120093315,Nuclear
LOC120093316,Nuclear
LOC120093317,Nuclear
LOC120093321,Nuclear
LOC120093322,Nuclear
LOC120093323,Nuclear
LOC120093324,Nuclear
LOC120093325,Nuclear
LOC120093326,Nuclear
LOC120093327,Nuclear
LOC120093328,Nuclear
LOC120093329,Nuclear
LOC120093330,Nuclear
LOC120093331,Nuclear
LOC120093332,Nuclear
LOC120093333,Nuclear
LOC120093334,Nuclear
LOC120093335,Nuclear
LOC120093336,Nuclear
LOC120093337,Nuclear
LOC120093338,Nuclear
LOC120093339,Nuclear
LOC120093340,Nuclear
LOC120093341,Nuclear
LOC120093342,Nuclear
LOC120093343,Nuclear
LOC120093344,Nuclear
LOC120093345,Nuclear
LOC120093346,Nuclear
LOC120093347,Nuclear
LOC120093348,Nuclear
LOC120093349,Nuclear
LOC120093350,Nuclear
LOC120093351,Nuclear
LOC120093352,Nuclear
LOC120093353,Nuclear
LOC120093354,Nuclear
LOC120093355,Nuclear
LOC120093356,Nuclear
Rnvu1-2a,Nuclear
LOC120093358,Nuclear
LOC120093359,Nuclear
LOC120093360,Nuclear
LOC120093361,Nuclear
LOC120093362,Nuclear
LOC120093363,Nuclear
LOC120093364,Nuclear
LOC120093365,Nuclear
LOC120093366,Nuclear
LOC120093367,Nuclear
U1l1,Nuclear
LOC120093369,Nuclear
LOC120093370,Nuclear
LOC120093371,Nuclear
LOC120093372,Nuclear
LOC120093373,Nuclear
LOC120093374,Nuclear
Snord113l1,Nuclear
LOC120093376,Nuclear
LOC120093378,Nuclear
LOC120093379,Nuclear
LOC120093380,Nuclear
LOC120093381,Nuclear
LOC120093382,Nuclear
Snord114-13,Nuclear
LOC120093384,Nuclear
LOC120093385,Nuclear
LOC120093386,Nuclear
LOC120093387,Nuclear
LOC120093388,Nuclear
LOC120093389,Nuclear
LOC120093391,Nuclear
LOC120093392,Nuclear
LOC120093393,Nuclear
LOC120093394,Nuclear
LOC120093395,Nuclear
LOC120093396,Nuclear
LOC120093397,Nuclear
LOC120093399,Nuclear
LOC120093400,Nuclear
LOC120093402,Nuclear
LOC120093403,Nuclear
Snord113-3,Nuclear
Snord114-31l1,Nuclear
LOC120093406,Nuclear
LOC120093407,Nuclear
Snord114-9,Nuclear
Snord114-4,Nuclear
LOC120093410,Nuclear
LOC120093411,Nuclear
LOC120093413,Nuclear
Scarna13,Nuclear
Snord45l1,Nuclear
Snord53,Nuclear
Snord53b,Nuclear
Snord92,Nuclear
LOC120093419,Nuclear
Snora28,Nuclear
Snora80b,Nuclear
LOC120093422,Nuclear
LOC120093424,Nuclear
LOC120093425,Nuclear
Snora32,Nuclear
LOC120093427,Nuclear
LOC120093428,Nuclear
LOC120093429,Nuclear
LOC120093430,Nuclear
LOC120093431,Nuclear
U2l3,Nuclear
LOC120093433,Nuclear
LOC120093434,Nuclear
LOC120093435,Nuclear
LOC120093436,Nuclear
LOC120093437,Nuclear
LOC120093438,Nuclear
LOC120093439,Nuclear
LOC120093440,Nuclear
LOC120093441,Nuclear
LOC120093442,Nuclear
LOC120093443,Nuclear
LOC120093444,Nuclear
LOC120093445,Nuclear
LOC120093446,Nuclear
LOC120093447,Nuclear
LOC120093448,Nuclear
LOC120093449,Nuclear
LOC120093450,Nuclear
LOC120093451,Nuclear
LOC120093452,Nuclear
LOC120093453,Nuclear
LOC120093454,Nuclear
LOC120093455,Nuclear
LOC120093456,Nuclear
LOC120093457,Nuclear
LOC120093458,Nuclear
LOC120093459,Nuclear
LOC120093460,Nuclear
LOC120093461,Nuclear
LOC120093462,Nuclear
LOC120093463,Nuclear
LOC120093464,Nuclear
LOC120093465,Nuclear
LOC120093466,Nuclear
LOC120093467,Nuclear
LOC120093468,Nuclear
LOC120093469,Nuclear
LOC120093470,Nuclear
LOC120093471,Nuclear
LOC120093472,Nuclear
LOC120093473,Nuclear
LOC120093474,Nuclear
LOC120093475,Nuclear
LOC120093476,Nuclear
Snora26l1,Nuclear
Snora50d,Nuclear
LOC120093479,Nuclear
LOC120093480,Nuclear
Snord127,Nuclear
Snord13l1,Nuclear
LOC120093483,Nuclear
LOC120093484,Nuclear
LOC120093485,Nuclear
LOC120093486,Nuclear
LOC120093487,Nuclear
LOC120093488,Nuclear
LOC120093489,Nuclear
LOC120093490,Nuclear
LOC120093491,Nuclear
U3l1,Nuclear
LOC120093493,Nuclear
LOC120093494,Nuclear
LOC120093495,Nuclear
LOC120093496,Nuclear
LOC120093497,Nuclear
LOC120093498,Nuclear
LOC120093499,Nuclear
LOC120093500,Nuclear
LOC120093501,Nuclear
LOC120093502,Nuclear
LOC120093503,Nuclear
LOC120093504,Nuclear
LOC120093510,Nuclear
Zfp955b,Nuclear
LOC120093621,Nuclear
Onecut3,Nuclear
LOC120093784,Nuclear
LOC120093867,Nuclear
LOC120093868,Nuclear
LOC120093869,Nuclear
LOC120093897,Nuclear
LOC120093898,Nuclear
LOC120093899,Nuclear
LOC120093900,Nuclear
LOC120093901,Nuclear
LOC120093902,Nuclear
LOC120093903,Nuclear
LOC120093904,Nuclear
LOC120093905,Nuclear
LOC120093906,Nuclear
LOC120093907,Nuclear
LOC120093908,Nuclear
LOC120093909,Nuclear
LOC120093910,Nuclear
LOC120093911,Nuclear
LOC120093912,Nuclear
LOC120093913,Nuclear
LOC120093914,Nuclear
LOC120093915,Nuclear
LOC120093916,Nuclear
LOC120093917,Nuclear
LOC120093918,Nuclear
LOC120093919,Nuclear
LOC120093920,Nuclear
LOC120093921,Nuclear
LOC120093922,Nuclear
LOC120093923,Nuclear
LOC120093924,Nuclear
LOC120093925,Nuclear
LOC120093926,Nuclear
LOC120093927,Nuclear
LOC120093928,Nuclear
LOC120093942,Nuclear
LOC120093944,Nuclear
LOC120093945,Nuclear
LOC120093946,Nuclear
Snord43,Nuclear
LOC120093948,Nuclear
Snord59a,Nuclear
LOC120093952,Nuclear
LOC120093953,Nuclear
LOC120093956,Nuclear
LOC120093957,Nuclear
LOC120093958,Nuclear
LOC120093959,Nuclear
Snora2b,Nuclear
Snora34,Nuclear
LOC120093962,Nuclear
LOC120093963,Nuclear
Snord37,Nuclear
LOC120093965,Nuclear
LOC120093966,Nuclear
LOC120093967,Nuclear
LOC120093968,Nuclear
LOC120093969,Nuclear
LOC120093970,Nuclear
LOC120093971,Nuclear
LOC120093972,Nuclear
LOC120093973,Nuclear
LOC120093975,Nuclear
LOC120093976,Nuclear
LOC120093977,Nuclear
LOC120093978,Nuclear
LOC120093979,Nuclear
LOC120093980,Nuclear
LOC120093981,Nuclear
LOC120093982,Nuclear
LOC120093983,Nuclear
LOC120093984,Nuclear
LOC120093986,Nuclear
LOC120093987,Nuclear
LOC120093988,Nuclear
LOC120093989,Nuclear
LOC120093990,Nuclear
LOC120093991,Nuclear
LOC120093992,Nuclear
LOC120093993,Nuclear
LOC120093994,Nuclear
LOC120093995,Nuclear
LOC120093997,Nuclear
LOC120093998,Nuclear
LOC120093999,Nuclear
LOC120094000,Nuclear
LOC120094001,Nuclear
LOC120094002,Nuclear
LOC120094003,Nuclear
LOC120094004,Nuclear
LOC120094005,Nuclear
LOC120094006,Nuclear
